File Name,LOC,Comment Percentage,Number Of Functions,CycloComplexity,Max Depth,Weeks Covered
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218967166/final.py,682,6.715154841955995,18,294,6
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218955265/final.py,435,23.455824863174357,9,42,5
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218956216/FinalProject(Collision).py,390,32.79014036288942,10,38,5
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_219275570/finalproject.py,121,4.047720494247975,9,24,5
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218562645/final.py,336,22.62022397891963,8,58,4
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218718703/milestone.py,327,27.700149398013885,15,58,8
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218718703/porter.py,341,31.952461799660437,17,240,7
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218504208/final.py,182,0.5360014293371407,15,74,6
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218945402/final.py,163,34.36322532027128,8,30,6
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218918832/final.py,514,34.34461951055984,16,70,8
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_219062236/finalproject.py,396,25.449031957079537,8,92,5
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218943739/CS5Finalproject.py,962,20.596967865682224,8,169,7
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218788544/final.py,492,31.369305166709083,17,40,4
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218858940/textmodel.py,350,29.206759925608473,15,62,8
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218628196/final.py,456,19.187301587301587,19,179,6
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218946156/final.py,123,0.8869179600886956,1,87,6
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218516844/final.py,312,37.87537537537538,14,79,6
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218954831/final.py,682,6.715154841955995,18,294,6
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218950005/final.py,474,6.809338521400776,12,161,5
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218544056/finalwith42.py,267,28.279499011206333,12,79,6
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218923104/FinalProject.py,139,27.91505791505792,9,41,7
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218155142/final.py,305,31.21807465618861,7,46,5
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_215864496/final.py,73,0.6230529595015577,7,24,5
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218563211/final.py,650,30.23996082272282,17,117,4
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218932817/Extras.py,89,52.94943820224719,2,6,3
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218932817/textmodel.py,193,19.928679193526268,15,42,6
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_219250177/porter.py,375,37.63465860652562,17,240,7
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_219250177/starter.py,391,40.00615242636315,15,50,7
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_217797488/final.py,357,19.90146049621678,19,129,7
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218575183/final.py,466,24.17737940794905,18,192,6
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218575183/game.py,20,6.578947368421051,0,8,3
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_217888476/final.py,366,36.929328340371285,15,52,8
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_217897483/final.py,1004,19.196080015076866,18,124,5
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218259173/final.py,282,36.08549874266554,7,44,5
