File Name,LOC,Comment Percentage,Docstring Percentage,Blank Percentage,Number Of Functions,Average Function Length,Number of Loops,Average Loop Length,CycloComplexity,Max Depth,Execution Time,Class,Semester,Year
/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|Assignment_1_Notebook_.py,547,21.755027422303474,1.4625228519195612,27.056672760511884,2,71.0,0,0,57,1,1.3105719089508057,IST341,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_356/final|hw3pr1 .py,491,26.272912423625254,27.494908350305497,31.568228105906314,11,7.2727272727272725,7,5.857142857142857,44,1,1.8593642711639404,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|Copy_of_all_in_one_iris_modeler_DT_RF (1).py,1255,41.03585657370518,2.0717131474103585,17.52988047808765,5,12.4,26,6.961538461538462,212,1,1.2832469940185547,IST341,sp2025,2025
"/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|Copy_of_CGU_Week2_Strings,_Slicing,_and_Functions (3).py",560,30.53571428571429,17.142857142857142,29.642857142857142,15,10.666666666666666,1,3.0,29,1,1.2215008735656738,IST341,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|_19697_link_SmartCam_Assistant_Project.py,117,17.94871794871795,0.0,26.495726495726498,1,7.0,2,26.5,29,1,1.224086046218872,IST341,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_359/final|hw0pr1 .py,659,28.98330804248862,7.890743550834597,32.47344461305007,17,9.176470588235293,22,3.9545454545454546,83,2,timeout,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_357/final|hw6pr1birth_modeler .py,188,30.851063829787233,0.0,22.872340425531913,0,0,5,8.0,16,0,1.2766587734222412,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_358/final|hw6pr2digit_modeler .py,756,44.576719576719576,1.8518518518518516,27.24867724867725,3,12.666666666666666,12,5.5,32,1,1.216393232345581,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_358/final|hw6pr1birth_modeler .py,717,47.140864714086476,1.9525801952580195,24.407252440725244,3,12.666666666666666,11,5.818181818181818,30,1,1.2107079029083252,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_356/final|hw7pr1iri_modeler .py,664,42.92168674698795,7.680722891566265,24.096385542168676,6,12.833333333333334,11,7.7272727272727275,44,2,1.204164981842041,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_356/final|hw5pr2digit_modeler .py,534,41.947565543071164,2.6217228464419478,28.83895131086142,3,14.333333333333334,11,8.545454545454545,32,1,1.2476720809936523,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_353/final|hw1pr1 .py,565,31.327433628318584,14.15929203539823,30.08849557522124,13,18.615384615384617,21,9.80952380952381,107,1,1.339440107345581,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_356/final|hw2pr1 .py,668,40.119760479041915,4.491017964071856,29.790419161676645,8,16.75,3,2.6666666666666665,16,2,timeout,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_359/final|hw2pr1 .py,689,40.9288824383164,2.1770682148040637,27.28592162554427,10,16.1,3,11.666666666666666,16,3,timeout,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/ECON176-Data/assignments postllm/submissions_econ176_sp2025/submission_1768/final|Assignment 1- .py,398,19.09547738693467,3.7688442211055273,36.4321608040201,4,6.5,7,4.571428571428571,26,1,timeout,ECON176,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_354/final|hw0pr1 .py,486,27.983539094650205,7.20164609053498,36.831275720164605,14,7.214285714285714,11,3.1818181818181817,47,1,timeout,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|Copy_of_hw9_ist341_spr25 (2).py,593,41.14671163575042,7.925801011804384,26.475548060708263,5,14.6,7,4.0,31,1,1.211148977279663,IST341,sp2025,2025
