File Name,LOC,Comment Percentage,Number Of Functions,CycloComplexity,Max Depth,Weeks Covered,Project Type,Semester,Year
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_293572438/final.py,183,24.28083861530961,6,36,4,5,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295420155/final.py,99,19.808743169398912,3,22,2,4,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_294324420/final.py,237,16.2643891570739,11,43,3,4,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_294764505/final.py,555,50.770769592845376,31,135,4,5,gameOfLife,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295502905/final.py,336,17.33443102817417,15,97,3,7,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295491957/final.py,351,32.50984604368063,18,85,4,8,picoBot,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_294051828/AIhangman.py,189,48.06321063788784,4,48,1,5,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295449564/final.py,158,18.228542059277032,14,32,3,6,textID,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_294704309/final.py,337,47.691792294807364,16,123,3,6,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_294629236/final.py,327,25.6205894562059,15,70,3,7,textID,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_294851304/finalproject.py,111,13.730355665839532,10,28,2,6,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/summer cs5 2024 section 1/submission_256880801/final.py,326,29.84470691163604,7,52,2,5,textGame_keywords,summer cs5 2024 section 1,520241
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295323751/final.py,226,40.53647187628302,6,39,2,4,vPython,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295394328/final.py,555,18.005900295014754,16,196,5,8,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295491985/final.py,458,29.247595700546857,6,45,1,5,vPython,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/summer cs5 2024 section 2/submission_258398523/final.py,238,13.605255954010397,10,52,3,6,textGame_keywords,summer cs5 2024 section 2,520242
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_294719921/final.py,492,38.54501091562861,13,105,3,8,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/summer cs5 2024 section 1/submission_256825475/Game Of Life-HighLife.py,693,41.11064817570382,11,82,2,5,gameOfLife,summer cs5 2024 section 1,520241
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295497121/final.py,265,10.267403813607135,20,59,5,8,picoBot,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_294306354/final.py,81,2.166064981949456,3,28,2,5,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_294694254/final.py,210,15.350589777195278,10,64,3,6,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295417507/final.py,260,11.370749008971416,10,57,1,3,vPython,2024 post llm cs5,20245
