File Name,LOC,Comment Percentage,Docstring Percentage,Empty Percentage,Number Of Functions,Number of Loops,CycloComplexity,Average Function Length,Max Depth,Execution Time,Weeks Covered,Class,Semester,Year
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12420642/final.py,524,3.244,17.36641221374046,8.396946564885496,25,256,20.96,41,3,1.274,6,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12419024/FINALFINAL.py,335,8.955,15.223880597014924,20.8955223880597,15,71,22.333333333333332,12,3,1.289,6,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7844310/2D Platformer/game.py,666,10.811,10.51051051051051,22.372372372372375,23,144,28.956521739130434,25,4,1.309,6,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12436535/porter.py,357,4.482,34.45378151260504,10.92436974789916,17,241,21.0,5,2,1.267,7,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12380032/final.py,247,34.008,12.550607287449392,13.360323886639677,6,57,41.166666666666664,3,1,1.288,5,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7871310/dataframe_builder.py,55,7.273,0.0,18.181818181818183,0,2,0.0,0,0,1.289,2,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12364145/final.py,317,5.678,22.082018927444793,20.50473186119874,14,70,22.642857142857142,11,3,1.269,5,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12312908/final.py,381,23.36,7.874015748031496,21.522309711286088,9,100,42.333333333333336,9,2,1.244,6,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12404226/final.py,600,6.833,25.5,17.166666666666668,27,199,22.22222222222222,30,3,1.313,6,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7878747/biggest_win_margin.py,58,5.172,0.0,27.58620689655172,2,14,29.0,2,1,1.237,3,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12406464/final.py,369,27.913,8.672086720867208,20.59620596205962,9,70,41.0,1,2,1.304,4,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12412058/final.py,294,7.483,17.687074829931973,15.306122448979592,14,75,21.0,14,3,1.22,7,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7848442/analyze.py,323,26.935,2.476780185758514,14.860681114551085,4,26,80.75,-1,1,1.283,5,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12405717/final.py,532,16.353,19.924812030075188,18.421052631578945,31,179,17.161290322580644,34,3,1.275,6,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12436179/final.py,506,26.68,14.42687747035573,19.76284584980237,18,86,28.11111111111111,-1,2,1.287,5,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12406365/final.py,641,14.977,4.83619344773791,14.664586583463338,17,166,37.705882352941174,1,2,1.282,4,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12477026/Final.py,325,33.231,6.153846153846154,19.692307692307693,8,60,40.625,6,2,1.299,5,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7848442/get_data.py,125,18.4,0.0,20.0,2,12,62.5,4,1,1.287,6,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7871310/nyt_api_data_extraction.py,99,28.283,0.0,18.181818181818183,0,8,0.0,2,0,1.883,5,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12396349/final.py,360,7.5,18.055555555555554,18.055555555555554,15,85,24.0,12,3,1.237,5,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12418056/c4_3player.py,481,8.732,24.116424116424117,4.365904365904366,24,211,20.041666666666668,29,2,1.281,6,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12417653/final.py,441,3.855,5.215419501133787,24.263038548752835,16,63,27.5625,13,3,1.279,7,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7512256/bot.py,205,20.0,0.0,20.48780487804878,5,30,41.0,1,1,1.272,6,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12476896/GV Final Project/porterrobinson.py,358,4.469,34.357541899441344,11.1731843575419,17,241,21.058823529411764,5,2,1.253,7,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12413189/final.py,279,2.509,9.31899641577061,13.620071684587815,23,134,12.130434782608695,21,5,1.307,6,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7870878/final|TUTORIAL WE USED.py,102,18.627,0.0,40.19607843137255,0,4,0.0,1,0,1.308,5,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12362659/final.py,371,9.434,17.78975741239892,19.946091644204852,14,59,26.5,-1,3,1.248,7,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7613970/finalproject.py,2460,19.797,30.65040650406504,29.552845528455286,28,128,87.85714285714286,29,2,1.273,7,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_8024510/rnn.py,112,8.929,9.821428571428571,17.857142857142858,2,14,56.0,6,2,1.251,6,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12410790/final.py,253,20.553,12.25296442687747,15.0197628458498,12,46,21.083333333333332,8,2,1.294,5,CS5,s2018,2018
