File Name,LOC,Comment Percentage,Docstring Percentage,Blank Percentage,Number Of Functions,Average Function Length,Number of Loops,Average Loop Length,CycloComplexity,Max Depth,Execution Time,Class,Semester,Year
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218718703/porter.py,341,4.69208211143695,28.445747800586513,8.797653958944283,17,18.764705882352942,5,7.4,240,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218753361/final.py,606,64.02640264026402,12.046204620462046,10.396039603960396,31,16.93548387096774,28,8.357142857142858,255,8,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218788544/final.py,492,25.406504065040654,7.113821138211382,22.76422764227642,17,16.764705882352942,3,36.666666666666664,40,3,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218808290/final.py,348,36.206896551724135,8.045977011494253,16.379310344827587,7,14.857142857142858,1,97.0,50,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218810885/final.py,192,5.208333333333334,0.0,16.145833333333336,20,7.85,15,6.266666666666667,50,4,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218816019/Finalproject.py,389,11.568123393316196,4.113110539845758,17.480719794344473,7,15.571428571428571,10,7.5,74,1,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218840671/final.py,486,32.510288065843625,12.139917695473251,7.4074074074074066,11,20.09090909090909,9,12.0,96,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218850803/finale.py,207,38.164251207729464,6.763285024154589,15.942028985507244,3,26.0,10,7.3,55,1,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218853053/final.py,306,9.15032679738562,22.22222222222222,25.163398692810457,15,11.333333333333334,21,4.571428571428571,63,3,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218858940/textmodel.py,350,15.142857142857144,19.142857142857142,13.428571428571429,15,18.133333333333333,12,5.916666666666667,62,3,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218867146/final.py,786,8.396946564885496,8.9058524173028,23.02798982188295,36,19.0,26,7.884615384615385,304,9,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218871129/final.py,386,4.145077720207254,9.585492227979273,16.580310880829018,14,13.142857142857142,3,13.0,54,4,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218878012/final.py,344,11.046511627906977,16.27906976744186,7.267441860465117,16,18.875,16,9.1875,111,4,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218893675/final.py,283,42.04946996466431,4.240282685512367,24.73498233215548,5,7.4,1,102.0,46,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218893702/TextIDFinal.py,345,12.753623188405797,19.130434782608695,18.84057971014493,16,16.6875,12,5.916666666666667,54,3,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218904612/finale.py,280,2.857142857142857,16.071428571428573,8.214285714285714,11,22.272727272727273,19,10.368421052631579,123,3,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218904832/final.py,397,17.884130982367758,21.662468513853906,18.1360201511335,16,15.8125,10,6.8,56,3,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218909706/mancala.py,323,9.907120743034056,10.21671826625387,18.26625386996904,14,20.0,16,17.1875,121,3,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218918555/final.py,832,2.644230769230769,56.49038461538461,12.620192307692307,13,57.61538461538461,10,29.4,198,3,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218918832/final.py,514,17.898832684824903,15.56420233463035,21.595330739299612,16,24.875,12,8.25,70,3,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218923104/FinalProject.py,139,9.352517985611511,23.741007194244602,10.79136690647482,9,13.777777777777779,7,9.285714285714286,41,3,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218932817/Extras.py,89,19.101123595505616,43.82022471910113,15.730337078651685,2,8.0,0,0,6,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218932817/textmodel.py,193,10.362694300518134,16.580310880829018,10.362694300518134,15,9.4,9,5.555555555555555,42,3,-3.0,CS5,s2023,2023
