File Name,LOC,Comment Percentage,Number Of Functions,CycloComplexity,Max Depth,Weeks Covered
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26667663/final.py,364,39.00208798329613,5,50,1,4
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26639426/final.py,468,32.053491417936165,23,155,4,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26577275/final.py,420,23.29199075047299,22,161,4,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26658271/final.py,523,27.180550754695243,27,188,4,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26473105/final.py,708,33.82791884760133,26,200,2,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26605470/final.py,427,25.1934167956112,27,167,3,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26636460/final.py,307,29.06534325889164,11,69,2,5
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26649136/final.py,312,37.355956809726884,9,83,1,5
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26638902/final.py,253,24.484004127966973,14,61,3,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26478116/final.py,329,34.72803347280335,8,83,2,4
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26631035/csfinal.py,353,22.80520940691464,14,56,4,7
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26639856/final.py,395,29.250798625760954,18,43,2,5
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26687056/final.py,741,15.540394662981994,32,288,4,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26475440/final.py,439,42.8871625063678,25,159,3,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26643616/Final.py,554,23.512385193431673,31,219,3,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26667616/final.py,296,32.448377581120944,19,60,4,8
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26667616/final_plus_turtle.py,315,34.672801635991824,19,58,4,8
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26638747/final.py,582,45.7907746840166,28,199,3,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26631639/final.py,262,38.97950187348468,8,51,1,4
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26668692/final.py,327,9.425572240851432,5,94,1,3
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26622227/final.py,337,16.24395623038426,15,90,3,5
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26622227/porter.py,375,37.675864749319864,17,240,2,7
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26588268/final.py,524,32.44996701121619,25,172,3,7
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26668805/final.py,295,27.9681375647996,17,66,3,7
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26667816/final.py,323,26.13312358666797,18,73,2,8
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26648465/final.py,382,24.142087920919398,25,143,3,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26627193/final.py,254,21.088053841839592,14,70,3,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26627193/porter.py,375,37.675864749319864,17,240,2,7
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26636449/final.py,475,23.165534691703293,26,165,3,6
